instancia,algoritmo,iteracao,tempo_s,memoria_pico_b
media,mochila_dinamica,23,0.001310,52448
media,mochila_dinamica,24,0.001366,52448
media,mochila_dinamica,25,0.001346,52448
media,mochila_dinamica,26,0.001415,52448
media,mochila_dinamica,27,0.001344,52448
media,mochila_dinamica,28,0.001984,52448
media,mochila_dinamica,29,0.001786,52448
media,mochila_dinamica,30,0.002007,52448
media,mochila_dinamica,31,0.001790,52448
media,mochila_dinamica,32,0.001784,52448
media,mochila_dinamica,33,0.001796,52448
media,mochila_dinamica,34,0.001796,52448
media,mochila_dinamica,35,0.001794,52448
media,mochila_dinamica,36,0.001822,52448
media,mochila_dinamica,37,0.001802,52448
media,mochila_dinamica,38,0.001787,52448
media,mochila_dinamica,39,0.001925,52448
media,mochila_dinamica,40,0.001963,52448
media,mochila_dinamica,41,0.001862,52448
media,mochila_dinamica,42,0.001370,52448
media,mochila_dinamica,43,0.001322,52448
media,mochila_dinamica,44,0.001419,52448
media,mochila_dinamica,45,0.001359,52448
media,mochila_dinamica,46,0.001309,52448
media,mochila_dinamica,47,0.001340,52448
media,mochila_dinamica,48,0.001429,52448
media,mochila_dinamica,49,0.001455,52448
media,mochila_dinamica,50,0.001339,52448
media,mochila_recursiva,1,0.002205,150976
media,mochila_recursiva,2,0.003167,203104
media,mochila_recursiva,3,0.002942,203104
media,mochila_recursiva,4,0.003244,193192
media,mochila_recursiva,5,0.002261,126048
media,mochila_recursiva,6,0.002359,142960
media,mochila_recursiva,7,0.002838,186192
media,mochila_recursiva,8,0.002910,203104
media,mochila_recursiva,9,0.002961,203104
media,mochila_recursiva,10,0.002936,203104
media,mochila_recursiva,11,0.003018,171240
media,mochila_recursiva,12,0.001934,146208
media,mochila_recursiva,13,0.002513,203104
media,mochila_recursiva,14,0.002316,203104
media,mochila_recursiva,15,0.002254,203104
media,mochila_recursiva,16,0.002663,203104
media,mochila_recursiva,17,0.002969,149736
media,mochila_recursiva,18,0.002836,167712
media,mochila_recursiva,19,0.002959,203104
media,mochila_recursiva,20,0.002897,203104
media,mochila_recursiva,21,0.002942,203104
media,mochila_recursiva,22,0.002993,203104
media,mochila_recursiva,23,0.002703,128344
media,mochila_recursiva,24,0.002930,189104
media,mochila_recursiva,25,0.002920,203104
media,mochila_recursiva,26,0.002768,203104
media,mochila_recursiva,27,0.002495,203104
media,mochila_recursiva,28,0.002983,203104
media,mochila_recursiva,29,0.001809,126048
media,mochila_recursiva,30,0.002563,157408
media,mochila_recursiva,31,0.002763,171744
media,mochila_recursiva,32,0.002930,203104
media,mochila_recursiva,33,0.002963,203104
media,mochila_recursiva,34,0.003011,203104
media,mochila_recursiva,35,0.003167,185744
media,mochila_recursiva,36,0.002321,131704
media,mochila_recursiva,37,0.002288,135512
media,mochila_recursiva,38,0.003087,193640
media,mochila_recursiva,39,0.003148,203104
media,mochila_recursiva,40,0.002646,203104
media,mochila_recursiva,41,0.002430,203104
media,mochila_recursiva,42,0.002460,163848
media,mochila_recursiva,43,0.001981,153600
media,mochila_recursiva,44,0.002210,203104
media,mochila_recursiva,45,0.002266,203104
media,mochila_recursiva,46,0.002664,203104
media,mochila_recursiva,47,0.003094,203104
media,mochila_recursiva,48,0.002793,142384
media,mochila_recursiva,49,0.005301,175872
media,mochila_recursiva,50,0.002949,203776
grande,mochila_dinamica,1,0.003046,86368
grande,mochila_dinamica,2,0.002961,84016
grande,mochila_dinamica,3,0.002985,84016
grande,mochila_dinamica,4,0.002987,84016
grande,mochila_dinamica,5,0.002469,84016
grande,mochila_dinamica,6,0.002543,84016
grande,mochila_dinamica,7,0.002347,84016
grande,mochila_dinamica,8,0.002503,84016
grande,mochila_dinamica,9,0.003045,84016
grande,mochila_dinamica,10,0.003005,84016
grande,mochila_dinamica,11,0.003093,84016
grande,mochila_dinamica,12,0.002998,84016
grande,mochila_dinamica,13,0.002993,84016
grande,mochila_dinamica,14,0.002974,84016
grande,mochila_dinamica,15,0.002951,84016
grande,mochila_dinamica,16,0.003053,84016
grande,mochila_dinamica,17,0.003029,84016
grande,mochila_dinamica,18,0.002521,84016
grande,mochila_dinamica,19,0.002327,84016
grande,mochila_dinamica,20,0.002264,84016
grande,mochila_dinamica,21,0.002279,84016
grande,mochila_dinamica,22,0.003353,84016
grande,mochila_dinamica,23,0.002686,84016
grande,mochila_dinamica,24,0.003014,84016
grande,mochila_dinamica,25,0.003378,84016
grande,mochila_dinamica,26,0.003272,84016
grande,mochila_dinamica,27,0.003227,84016
grande,mochila_dinamica,28,0.004234,84016
grande,mochila_dinamica,29,0.003551,84016
grande,mochila_dinamica,30,0.004211,84016
grande,mochila_dinamica,31,0.003182,84016
grande,mochila_dinamica,32,0.004294,84016
grande,mochila_dinamica,33,0.003166,84016
grande,mochila_dinamica,34,0.002799,84016
grande,mochila_dinamica,35,0.002580,84016
grande,mochila_dinamica,36,0.002527,84016
grande,mochila_dinamica,37,0.002603,84016
grande,mochila_dinamica,38,0.003450,84016
grande,mochila_dinamica,39,0.003329,84016
grande,mochila_dinamica,40,0.003782,84016
grande,mochila_dinamica,41,0.003071,84016
grande,mochila_dinamica,42,0.003398,84016
grande,mochila_dinamica,43,0.003064,84016
grande,mochila_dinamica,44,0.003115,84016
grande,mochila_dinamica,45,0.003002,84016
grande,mochila_dinamica,46,0.002459,84016
grande,mochila_dinamica,47,0.002440,84016
grande,mochila_dinamica,48,0.002289,84016
grande,mochila_dinamica,49,0.002577,84016
grande,mochila_dinamica,50,0.002498,84016
grande,mochila_recursiva,1,0.006585,413116
grande,mochila_recursiva,2,0.006764,403532
grande,mochila_recursiva,3,0.005111,328116
grande,mochila_recursiva,4,0.005728,407916
grande,mochila_recursiva,5,0.005910,408236
grande,mochila_recursiva,6,0.005542,296236
grande,mochila_recursiva,7,0.005040,407916
grande,mochila_recursiva,8,0.005321,407916
grande,mochila_recursiva,9,0.005211,295916
grande,mochila_recursiva,10,0.006074,407916
grande,mochila_recursiva,11,0.005135,407916
grande,mochila_recursiva,12,0.004116,328772
grande,mochila_recursiva,13,0.006089,402876
grande,mochila_recursiva,14,0.005819,407916
grande,mochila_recursiva,15,0.005537,364500
grande,mochila_recursiva,16,0.004265,367148
grande,mochila_recursiva,17,0.005197,407916
grande,mochila_recursiva,18,0.005911,400284
grande,mochila_recursiva,19,0.005127,331364
grande,mochila_recursiva,20,0.005852,407916
grande,mochila_recursiva,21,0.005905,408236
grande,mochila_recursiva,22,0.004263,295980
grande,mochila_recursiva,23,0.004991,407916
grande,mochila_recursiva,24,0.005945,407916
grande,mochila_recursiva,25,0.005322,296172
grande,mochila_recursiva,26,0.006016,407916
grande,mochila_recursiva,27,0.005990,407916
grande,mochila_recursiva,28,0.003952,325636
grande,mochila_recursiva,29,0.004462,406012
grande,mochila_recursiva,30,0.005228,407916
grande,mochila_recursiva,31,0.005617,361420
grande,mochila_recursiva,32,0.005541,370228
grande,mochila_recursiva,33,0.006034,407916
grande,mochila_recursiva,34,0.004876,397316
grande,mochila_recursiva,35,0.005000,334332
grande,mochila_recursiva,36,0.006056,407916
grande,mochila_recursiva,37,0.006565,408236
grande,mochila_recursiva,38,0.004684,298492
grande,mochila_recursiva,39,0.005668,407916
grande,mochila_recursiva,40,0.005114,408236
grande,mochila_recursiva,41,0.005510,296236
grande,mochila_recursiva,42,0.005722,407916
grande,mochila_recursiva,43,0.005620,407916
grande,mochila_recursiva,44,0.005029,322180
grande,mochila_recursiva,45,0.005466,407916
grande,mochila_recursiva,46,0.004905,407916
grande,mochila_recursiva,47,0.005566,358396
grande,mochila_recursiva,48,0.005521,373252
grande,mochila_recursiva,49,0.005899,407916
grande,mochila_recursiva,50,0.005915,394292
